Name,I_BSDV_AX,I_BSDV_AY,I_BSDV_AZ,I_BSDV_IX,I_BSDV_IY,I_BSDV_IZ,I_BSDV_VY,I_BSDV_VPY,I_BSDV_VZ,I_BSDV_VPZ,I_BSDV_SURFACE,I_BSDV_WEIGHT,I_BSDV_D,I_BSDV_BF,I_BSDV_TW,I_BSDV_TF,I_BSDV_RA,I_BSDV_RI,I_BSDV_S,I_BSDV_ZY,I_BSDV_ZZ,I_BSDV_WX,I_BSDV_WY,I_BSDV_WZ,I_BSDV_GAMMA,I_BSDV_IOMEGA,I_BSDV_P1_LENGTH,I_BSDV_P1_THICKNESS,I_BSDV_P2_LENGTH,I_BSDV_P2_THICKNESS,I_BSDV_P3_LENGTH,I_BSDV_P3_THICKNESS,I_BSDV_P4_LENGTH,I_BSDV_P4_THICKNESS,I_BSDV_BF2,I_BSDV_TF2,I_BSDV_DIM1,I_BSDV_DIM2,I_BSDV_DIM3,I_BSDV_ANGLE1,I_BSDV_ANGLE2,
CEAB 60x5x0,0.00117,0.0,0.0,9.58e-09,4.13e-07,7.1381e-07,0.06,0.06,0.0165,0.0435,0.469012385971,89.632781,0.06,0.12,0.005,0.005,0.008,0.0024,0.0,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,0.0,0.0,0.0,
CEAB 60x5x8,0.00117,0.0,0.0,9.58e-09,4.13e-07,8.93439166574e-07,0.064,0.064,0.0165,0.0435,0.469012385971,89.632781,0.06,0.128,0.005,0.005,0.008,0.0024,0.008,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,8.0,0.0,0.0,
CEAB 60x5x10,0.00117,0.0,0.0,9.58e-09,4.13e-07,9.13864e-07,0.065,0.065,0.0165,0.0435,0.469012385971,89.632781,0.06,0.13,0.005,0.005,0.008,0.0024,0.01,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,10.0,0.0,0.0,
CEAB 60x5x12,0.00117,0.0,0.0,9.58e-09,4.13e-07,9.6353e-07,0.066,0.066,0.0165,0.0435,0.469012385971,89.632781,0.06,0.132,0.005,0.005,0.008,0.0024,0.012,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,12.0,0.0,0.0,
CEAB 60x5x15,0.00117,0.0,0.0,9.58e-09,4.13e-07,1.03162e-06,0.0675,0.0675,0.0165,0.0435,0.469012385971,89.632781,0.06,0.135,0.005,0.005,0.008,0.0024,0.015,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,15.0,0.0,0.0,
CEAB 60x6x0,0.00139,0.0,0.0,1.642e-08,4.83e-07,8.61814e-07,0.06,0.06,0.017,0.043,0.469012385971,105.91182,0.06,0.12,0.006,0.006,0.008,0.0024,0.0,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,0.0,0.0,
CEAB 60x6x8,0.00139,0.0,0.0,1.642e-08,4.83e-07,1.07961926356e-06,0.064,0.064,0.017,0.043,0.469012385971,105.91182,0.06,0.128,0.006,0.006,0.008,0.0024,0.008,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,8.0,0.0,0.0,
CEAB 60x6x10,0.00139,0.0,0.0,1.642e-08,4.83e-07,1.10516e-06,0.065,0.065,0.017,0.043,0.469012385971,105.91182,0.06,0.13,0.006,0.006,0.008,0.0024,0.01,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,10.0,0.0,0.0,
CEAB 60x6x12,0.00139,0.0,0.0,1.642e-08,4.83e-07,1.16877e-06,0.066,0.066,0.017,0.043,0.469012385971,105.91182,0.06,0.132,0.006,0.006,0.008,0.0024,0.012,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,12.0,0.0,0.0,
CEAB 60x6x15,0.00139,0.0,0.0,1.642e-08,4.83e-07,1.2505e-06,0.0675,0.0675,0.017,0.043,0.469012385971,105.91182,0.06,0.135,0.006,0.006,0.008,0.0024,0.015,0.0,0.0,0.0,2.84356e-33,2.15141e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,15.0,0.0,0.0,
